ss,low_income,high_income,p_income,f_income,h_income,chinese_p,owner,mortgage,rent,rental,rent_distress,repay,repay_distress,house,semi,unit,ssc,POA_CODE_2016
Edgecliff,12.5,36.4,1365,3245,2198,2.5,30.8,16.1,50.8,600,19.1,3027,4.1,4.6,21.6,73.6,11379,2027
Double Bay,11.6,43.8,1427,3421,2478,3.3,34.3,20.6,41,680,15,3000,5.1,14.6,9.6,75.1,11281,2028
Bellevue Hill,8.8,48.6,1318,3619,2892,1.7,35,28.6,33.4,625,14.1,3000,7.5,33.8,4.5,60.9,10271,2023
Rose Bay,11.9,38.4,1154,2942,2272,1.3,30.1,22.7,43.2,600,19.2,3000,5.7,22.1,8.3,68.5,13398,2029
Paddington,11.1,45.5,1422,3719,2509,0,26.7,24.6,45.5,630,15.9,3500,5.9,2.8,63.7,31.9,13115,2021
Point Piper,7.3,55.9,1708,4305,3644,6.7,47.3,19.2,30.2,850,13.7,4000,6.3,26.2,3.3,70.5,13233,2027
Vaucluse,10.4,46.7,1099,3434,2741,2.3,39.8,31.3,26,650,13.2,3467,9.2,49.5,8.9,39.9,14071,2030
Dover Heights,9.1,50.3,1145,3570,3031,2.3,44.7,33.4,19,725,8,4000,10.8,66.5,11.2,21.9,11284,2030
Watsons Bay,12.1,46.1,1042,3399,2583,0,39.9,22,25,650,11.6,2700,4.7,46,26.8,21.5,14187,2030
Woollahra,11.7,45.6,1375,3646,2529,1.6,33.7,24.5,36.7,655,13.5,3033,5.3,15,33.5,50.2,14404,2025
Clovelly,10.1,46.7,1293,3416,2768,0,31.8,27.7,38.2,630,12.7,3683,6.7,24.2,26.3,47.1,10938,2031
South Coogee,32.9,31.4,755,2723,1517,3.9000000000000004,22.6,22.7,50,177,20.5,3132,4.6,36.5,16.9,45.4,13579,2034
Coogee,10,38.7,1285,2985,2396,0,22.1,21.5,53.4,600,17.2,2743,4.3,10.6,9.2,79.3,11015,2034
La Perouse,20,19.1,637,1550,1531,1.7,29,22.5,43.5,185,13.8,2500,2.4,78.8,10.9,10.2,12230,2036
Little Bay,18.9,30.1,930,2452,2041,7.800000000000001,24.2,29.6,35.7,570,15.2,2622,8.7,31.5,16.9,51.2,12349,2036
