,People,Male,Female,Median age,Families,Average children per family for families with children,Average children per family for all families,All private dwellings,Average people per household,Median weekly household income,Median monthly mortgage repayments,Median weekly rent,Average motor vehicles per dwelling,SSC_CODE
Goodwood Island,69.0,0.5760000000000001,0.424,56.0,17.0,0.0,0.0,49.0,1.5,589.0,0.0,190.0,1.7,11703
Chatsworth (NSW),163.0,0.516,0.484,49.0,49.0,2.1,0.7,75.0,2.5,1260.0,1645.0,255.0,1.9,10894
Townsend,890.0,0.49,0.51,43.0,253.0,1.8,0.7,381.0,2.5,928.0,1400.0,295.0,1.7,13928
Taloumbi,106.0,0.519,0.48100000000000004,41.0,27.0,2.2,1.0,36.0,2.8,739.0,1048.0,165.0,1.6,13740
Palmers Channel,119.0,0.5,0.5,53.0,39.0,2.0,0.6,57.0,2.2,1187.0,1695.0,240.0,2.1,13135
James Creek,211.0,0.493,0.507,48.0,67.0,1.9,0.8,79.0,2.7,1375.0,1600.0,0.0,2.6,11999
Palmers Island,458.0,0.498,0.502,47.0,135.0,1.7,0.7,245.0,2.6,1057.0,1733.0,250.0,2.2,13136
Micalo Island,34.0,0.6,0.4,54.0,13.0,1.0,0.5,15.0,2.1,1156.0,1250.0,0.0,2.3,12597
Bellingen,3779.0,0.46299999999999997,0.537,43.0,991.0,1.9,0.8,1639.0,2.5,1032.0,1430.0,320.0,1.6,10273
Brierfield,333.0,0.512,0.488,44.0,89.0,2.0,0.8,131.0,2.5,1323.0,1300.0,270.0,2.0,10568
Spicketts Creek,45.0,0.543,0.457,50.0,15.0,1.5,0.5,16.0,2.4,849.0,1560.0,0.0,1.9,13609
Fernmount,369.0,0.51,0.49,45.0,106.0,1.6,0.5,165.0,2.5,1303.0,1500.0,270.0,2.1,11509
Darkwood,177.0,0.49700000000000005,0.503,44.0,37.0,1.7,0.5,92.0,2.1,780.0,1441.0,255.0,1.5,11210
Thora,332.0,0.494,0.506,47.0,89.0,2.0,0.8,156.0,2.7,924.0,1387.0,213.0,1.9,13849
Dorrigo Mountain,98.0,0.545,0.455,58.0,30.0,1.0,0.2,55.0,2.0,900.0,1867.0,190.0,1.9,11279
Gleniffer,369.0,0.474,0.526,53.0,115.0,1.6,0.5,171.0,2.3,1125.0,1566.0,220.0,1.8,11668
Valery,140.0,0.457,0.543,47.0,37.0,1.7,0.6,62.0,2.5,1135.0,1348.0,280.0,2.1,14066
Kennaicle Creek,5.0,0.5710000000000001,0.429,67.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,12098
Kalang,266.0,0.528,0.47200000000000003,47.0,76.0,1.6,0.5,112.0,2.8,959.0,1300.0,350.0,2.0,12050
Coffs Harbour,25752.0,0.47500000000000003,0.525,43.0,6403.0,1.8,0.6,11832.0,2.3,1019.0,1555.0,295.0,1.6,10959
North Boambee Valley,2002.0,0.454,0.546,49.0,495.0,1.9,0.7,749.0,2.4,1238.0,1820.0,380.0,1.7,12983
Coramba,810.0,0.505,0.495,45.0,224.0,1.7,0.7,321.0,2.6,1255.0,1614.0,350.0,2.1,11065
Nana Glen,1055.0,0.49,0.51,42.0,294.0,1.9,0.8,420.0,2.7,1231.0,1456.0,290.0,2.1,12889
Upper Orara,814.0,0.511,0.489,45.0,226.0,1.9,0.8,326.0,2.8,1394.0,1602.0,285.0,2.2,14041
Bucca (NSW),553.0,0.528,0.47200000000000003,43.0,149.0,2.0,0.9,211.0,2.9,1261.0,1950.0,333.0,2.5,10625
Karangi,586.0,0.495,0.505,41.0,150.0,2.1,1.0,202.0,2.9,1375.0,1473.0,275.0,2.3,12072
Tallowwood Ridge,45.0,0.5660000000000001,0.434,55.0,10.0,1.0,0.2,27.0,1.6,474.0,0.0,60.0,1.7,13735
Megan,149.0,0.51,0.49,54.0,40.0,1.9,0.5,77.0,2.2,1062.0,875.0,185.0,1.9,12558
Cascade (NSW),5.0,0.364,0.636,65.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,10842
Ulong,233.0,0.53,0.47000000000000003,44.0,46.0,1.8,0.8,102.0,2.4,758.0,861.0,240.0,1.6,14005
Brooklana,42.0,0.574,0.42600000000000005,58.0,14.0,0.0,0.0,33.0,1.8,850.0,1127.0,125.0,2.0,10597
Lowanna,362.0,0.51,0.49,48.0,81.0,1.7,0.5,167.0,2.2,704.0,1008.0,200.0,1.8,12398
Dorrigo,1191.0,0.45799999999999996,0.542,55.0,317.0,1.6,0.4,632.0,2.1,775.0,1300.0,225.0,1.5,11278
Bielsdown Hills,99.0,0.439,0.561,54.0,32.0,1.7,0.4,57.0,2.3,1274.0,1860.0,290.0,2.3,10341
Deer Vale,163.0,0.494,0.506,39.0,37.0,2.1,0.9,84.0,2.6,787.0,1754.0,245.0,1.9,11232
Fernbrook,111.0,0.526,0.474,56.0,33.0,1.2,0.3,74.0,1.6,1062.0,1000.0,243.0,1.9,11506
Marengo (NSW),7.0,0.625,0.375,60.0,4.0,0.0,0.0,5.0,1.0,574.0,0.0,0.0,2.0,12489
Tyringham,100.0,0.62,0.38,46.0,23.0,2.8,0.6,49.0,1.9,604.0,745.0,100.0,1.9,13998
Hernani,126.0,0.53,0.47000000000000003,42.0,39.0,1.5,0.7,57.0,2.8,1449.0,867.0,12.0,2.5,11896
Dundurrabin,97.0,0.6,0.4,53.0,17.0,1.7,0.4,55.0,1.7,474.0,650.0,50.0,1.5,11315
Clouds Creek,3.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10937
Moonpar,16.0,0.625,0.375,58.0,3.0,0.0,0.0,7.0,2.0,1024.0,0.0,0.0,0.0,12706
Billys Creek,61.0,0.542,0.45799999999999996,51.0,15.0,2.0,0.8,49.0,2.1,537.0,889.0,0.0,1.9,10356
Bostobrick,136.0,0.536,0.46399999999999997,44.0,33.0,1.7,0.9,58.0,2.8,1024.0,1133.0,200.0,2.3,10516
North Dorrigo,189.0,0.511,0.489,52.0,54.0,2.0,0.5,89.0,2.3,1093.0,1300.0,210.0,2.0,12989
Sapphire Beach,2084.0,0.48600000000000004,0.514,46.0,586.0,1.8,0.7,969.0,2.5,1544.0,1863.0,410.0,1.8,13491
Emerald Beach,2234.0,0.478,0.522,42.0,640.0,1.8,0.8,925.0,2.7,1410.0,1712.0,360.0,2.0,11411
Korora,2488.0,0.489,0.511,45.0,738.0,1.8,0.7,1065.0,2.6,1436.0,1800.0,375.0,1.9,12197
Moonee Beach,1933.0,0.501,0.499,40.0,537.0,2.0,0.9,737.0,2.9,1562.0,1950.0,375.0,2.2,12703
Toormina,6192.0,0.469,0.531,44.0,1592.0,1.8,0.7,2746.0,2.3,876.0,1473.0,280.0,1.5,13912
Boambee East,5243.0,0.48200000000000004,0.518,41.0,1478.0,1.8,0.8,2107.0,2.6,1166.0,1517.0,350.0,1.8,10422
Boambee,1668.0,0.513,0.48700000000000004,46.0,474.0,1.9,0.8,625.0,2.8,1557.0,1800.0,255.0,2.2,10421
Sawtell,3682.0,0.483,0.517,46.0,1001.0,1.8,0.6,1965.0,2.3,1107.0,1733.0,320.0,1.6,13498
Bonville,2554.0,0.506,0.494,44.0,742.0,1.9,0.8,943.0,2.9,1453.0,1950.0,370.0,2.2,10474
Bundagen,135.0,0.5529999999999999,0.44700000000000006,50.0,20.0,1.4,0.3,102.0,1.6,478.0,0.0,33.0,1.2,10669
Mylestom,344.0,0.48100000000000004,0.519,51.0,104.0,1.5,0.4,225.0,2.1,974.0,1517.0,300.0,1.7,12875
Raleigh,645.0,0.526,0.474,50.0,172.0,1.8,0.7,249.0,2.7,1416.0,1394.0,280.0,2.2,13307
Urunga,3000.0,0.493,0.507,54.0,827.0,1.7,0.5,1574.0,2.1,931.0,1517.0,273.0,1.6,14061
Repton,646.0,0.47700000000000004,0.523,46.0,182.0,1.6,0.5,294.0,2.4,1208.0,1580.0,318.0,2.0,13352
Valla,936.0,0.49,0.51,45.0,260.0,2.0,0.7,366.0,2.8,1245.0,1733.0,270.0,2.3,14067
Woolgoolga,5290.0,0.49600000000000005,0.504,47.0,1382.0,1.7,0.6,2477.0,2.4,949.0,1548.0,300.0,1.7,14402
Safety Beach (NSW),930.0,0.5,0.5,48.0,283.0,1.9,0.6,395.0,2.6,1550.0,1800.0,380.0,1.9,13462
Sandy Beach,2287.0,0.498,0.502,38.0,633.0,1.9,0.8,929.0,2.7,1215.0,1500.0,335.0,1.8,13479
Upper Corindi,156.0,0.516,0.484,51.0,34.0,1.7,0.7,68.0,2.0,900.0,1400.0,125.0,2.0,14020
Dirty Creek,91.0,0.539,0.461,36.0,25.0,1.7,1.0,33.0,2.8,1083.0,1200.0,0.0,2.7,11261
Corindi Beach,1686.0,0.49700000000000005,0.503,38.0,448.0,1.8,0.8,718.0,2.8,1252.0,1700.0,350.0,1.9,11073
Red Rock,435.0,0.49200000000000005,0.508,45.0,115.0,2.1,0.7,331.0,2.4,964.0,1300.0,270.0,1.8,13334
Arrawarra,523.0,0.48600000000000004,0.514,67.0,151.0,1.4,0.2,394.0,1.7,682.0,1083.0,220.0,1.3,10088
Arrawarra Headland,557.0,0.503,0.49700000000000005,47.0,162.0,1.7,0.6,252.0,2.5,1222.0,1387.0,320.0,2.0,10089
Mullaway,567.0,0.494,0.506,37.0,159.0,2.0,0.8,243.0,2.5,1228.0,1600.0,320.0,2.0,12822
Bourke,1909.0,0.483,0.517,34.0,417.0,2.0,0.8,898.0,2.5,1311.0,910.0,150.0,1.4,10522
Wanaaring,140.0,0.478,0.522,39.0,22.0,2.3,0.8,88.0,2.6,1166.0,300.0,45.0,2.1,14126
Gumbalie,9.0,1.0,0.0,60.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,11798
Louth,43.0,0.556,0.444,55.0,9.0,2.0,0.4,31.0,2.0,1812.0,0.0,0.0,2.3,12394
Gunderbooka,13.0,0.615,0.385,52.0,3.0,0.0,0.0,14.0,1.5,900.0,0.0,0.0,2.0,11807
Byrock,50.0,0.556,0.444,50.0,9.0,1.0,0.2,31.0,2.2,833.0,0.0,0.0,2.0,10732
North Bourke,287.0,0.5479999999999999,0.452,44.0,70.0,2.1,0.8,210.0,2.5,1312.0,1350.0,99.0,1.9,12985
Enngonia,148.0,0.529,0.47100000000000003,30.0,30.0,2.0,0.8,61.0,2.3,1031.0,1051.0,130.0,1.6,11426
Fords Bridge,54.0,0.48200000000000004,0.518,49.0,11.0,1.6,0.5,30.0,1.4,725.0,0.0,0.0,1.9,11540
Hungerford (NSW),15.0,0.765,0.23500000000000001,45.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,11953
Yantabulla,28.0,0.467,0.533,40.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,2.0,14465
Brewarrina,1143.0,0.52,0.48,32.0,262.0,1.9,0.7,474.0,2.6,923.0,437.0,90.0,1.2,10563
Gongolgon,40.0,0.618,0.38200000000000006,56.0,11.0,2.0,0.4,20.0,2.3,537.0,0.0,0.0,2.1,11696
Weilmoringle,77.0,0.493,0.507,27.0,15.0,1.6,0.8,26.0,2.6,492.0,0.0,80.0,1.1,14216
Talawanta,28.0,0.5810000000000001,0.419,54.0,6.0,0.0,0.0,18.0,2.1,1374.0,0.0,0.0,2.6,13729
Collerina,47.0,0.5,0.5,46.0,15.0,1.5,0.7,45.0,3.0,1375.0,0.0,0.0,2.9,10974
Murrin Bridge,86.0,0.5700000000000001,0.43,33.0,17.0,2.1,1.0,26.0,4.2,574.0,0.0,140.0,0.5,12857
Cobar,3990.0,0.51,0.49,35.0,955.0,1.9,0.7,2085.0,2.4,1650.0,1300.0,170.0,1.7,10949
Mount Hope (NSW),19.0,0.455,0.545,31.0,8.0,0.0,0.0,9.0,1.5,700.0,0.0,0.0,2.5,12763
Euabalong West,66.0,0.5670000000000001,0.433,31.0,12.0,2.1,0.7,29.0,2.4,850.0,0.0,12.0,2.3,11450
Nymagee,100.0,0.54,0.46,48.0,25.0,1.6,0.3,65.0,2.3,1224.0,1900.0,0.0,2.3,13047
Irymple (NSW),7.0,0.444,0.556,48.0,4.0,0.0,0.0,7.0,1.4,612.0,0.0,0.0,2.0,11988
Eremerang,17.0,0.438,0.563,33.0,5.0,0.0,0.0,15.0,1.5,1125.0,0.0,0.0,2.7,11430
Tindarey,35.0,0.529,0.47100000000000003,51.0,6.0,0.0,0.0,22.0,1.8,849.0,2859.0,0.0,2.6,13872
Tilpa,44.0,0.5479999999999999,0.452,37.0,8.0,0.0,0.0,20.0,1.3,749.0,0.0,30.0,3.5,13867
Canbelego,39.0,0.564,0.436,52.0,12.0,2.0,0.8,32.0,2.5,1124.0,0.0,0.0,1.7,10787
Noona,14.0,0.75,0.25,33.0,3.0,0.0,0.0,13.0,1.0,1124.0,0.0,0.0,3.0,12970
Sandy Creek (Cobar - NSW),25.0,0.536,0.46399999999999997,55.0,7.0,2.0,0.5,19.0,2.5,2624.0,0.0,0.0,2.2,13480
Bulla (NSW),4.0,0.429,0.5710000000000001,32.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10654
Cubba,33.0,0.5479999999999999,0.452,55.0,14.0,2.0,0.6,20.0,2.5,1406.0,1533.0,0.0,3.3,11139
Kerrigundi,13.0,0.667,0.33299999999999996,39.0,4.0,0.0,0.0,5.0,2.0,1499.0,0.0,0.0,1.0,12107
Kulwin (NSW),12.0,0.33299999999999996,0.667,25.0,3.0,1.0,0.5,6.0,0.0,0.0,0.0,0.0,1.0,12207
Coonamble,2750.0,0.494,0.506,42.0,630.0,2.0,0.7,1354.0,2.4,1015.0,921.0,178.0,1.7,11044
Gulargambone,591.0,0.5,0.5,45.0,138.0,1.9,0.6,346.0,2.3,788.0,600.0,141.0,1.6,11792
Combara,79.0,0.461,0.539,48.0,18.0,2.1,0.8,29.0,2.7,850.0,0.0,0.0,1.9,10990
Pine Grove (NSW),7.0,0.364,0.636,51.0,4.0,0.0,0.0,13.0,1.0,1124.0,0.0,0.0,0.0,13214
Nebea,10.0,0.643,0.35700000000000004,44.0,6.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,1.0,12918
Teridgerie,60.0,0.536,0.46399999999999997,35.0,19.0,2.0,0.8,27.0,2.9,900.0,1284.0,0.0,2.3,13796
Urawilkie,12.0,0.545,0.455,57.0,4.0,0.0,0.0,10.0,1.5,1062.0,0.0,0.0,2.0,14056
Warrumbungle,5.0,0.5,0.5,14.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,14176
Gilgooma,33.0,0.564,0.436,49.0,10.0,2.0,0.5,24.0,2.2,1187.0,0.0,0.0,2.4,11620
Black Hollow,24.0,0.609,0.391,59.0,11.0,0.0,0.0,14.0,2.0,1124.0,277.0,0.0,3.0,10386
Quanda,9.0,0.5710000000000001,0.429,65.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,13288
Mount Tenandra,18.0,0.667,0.33299999999999996,61.0,5.0,0.0,0.0,10.0,2.0,1875.0,0.0,0.0,0.0,12793
Magometon,22.0,0.45,0.55,54.0,8.0,1.0,0.4,14.0,1.8,1875.0,0.0,0.0,3.0,12442
Wingadee,16.0,0.41200000000000003,0.588,45.0,3.0,1.0,0.6,11.0,2.6,150.0,0.0,0.0,2.6,14329
Billeroy,43.0,0.634,0.36600000000000005,45.0,10.0,1.5,1.0,22.0,3.5,1374.0,0.0,0.0,3.0,10352
Gungalman,7.0,0.7000000000000001,0.3,48.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,11811
Conimbia,12.0,0.429,0.5710000000000001,54.0,3.0,0.0,0.0,7.0,1.4,575.0,0.0,0.0,1.5,11009
Tooloon,49.0,0.455,0.545,42.0,9.0,2.0,0.6,18.0,5.0,2249.0,2167.0,0.0,3.0,13905
Quambone,166.0,0.494,0.506,44.0,39.0,1.8,0.4,115.0,2.2,725.0,384.0,5.0,1.8,13287
Marthaguy,58.0,0.46799999999999997,0.532,32.0,17.0,2.4,0.9,25.0,3.1,2083.0,0.0,0.0,2.5,12509
Tenandra,83.0,0.48100000000000004,0.519,33.0,21.0,2.0,0.5,44.0,2.3,1812.0,1279.0,150.0,2.4,13788
Bullagreen,48.0,0.488,0.512,31.0,16.0,1.3,0.9,13.0,3.4,1687.0,0.0,0.0,2.4,10657
Pine Clump,9.0,0.5,0.5,58.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,13213
Pigeonbah,12.0,0.667,0.33299999999999996,48.0,3.0,1.0,0.4,3.0,2.5,0.0,0.0,0.0,2.0,13201
Bourbah,40.0,0.419,0.5810000000000001,32.0,12.0,2.0,0.7,11.0,3.0,1812.0,0.0,0.0,2.5,10521
Nyngan,2159.0,0.495,0.505,40.0,530.0,1.9,0.7,1055.0,2.3,1078.0,1083.0,175.0,1.7,13049
Mullengudgery,51.0,0.528,0.47200000000000003,38.0,14.0,2.0,0.7,20.0,2.6,1333.0,0.0,0.0,2.6,12824
Nevertire,189.0,0.519,0.48100000000000004,46.0,50.0,1.9,0.7,78.0,2.4,1458.0,650.0,100.0,2.5,12936
Bogan,11.0,0.467,0.533,46.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,10437
Miandetta (NSW),39.0,0.639,0.36100000000000004,34.0,8.0,1.5,1.5,19.0,2.5,1374.0,0.0,0.0,2.0,12596
Canonba,22.0,0.41200000000000003,0.588,32.0,9.0,1.0,0.3,10.0,2.0,2250.0,0.0,0.0,2.5,10795
Mulla,10.0,0.353,0.647,26.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,12818
Buddabadah,48.0,0.46299999999999997,0.537,47.0,14.0,1.0,0.2,23.0,2.6,2416.0,0.0,0.0,2.7,10637
Snakes Plain,9.0,0.7270000000000001,0.273,20.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,13565
Mumblebone Plain,26.0,0.6,0.4,44.0,12.0,2.0,0.5,15.0,2.3,1562.0,0.0,0.0,2.3,12833
Eenaweena,10.0,0.7859999999999999,0.214,33.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,11385
The Marra,58.0,0.47500000000000003,0.525,40.0,12.0,2.3,0.9,21.0,3.1,1625.0,0.0,0.0,2.2,13829
Beemunnel,17.0,0.563,0.438,28.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,10252
Warren,1389.0,0.493,0.507,43.0,356.0,2.0,0.6,714.0,2.3,1059.0,975.0,150.0,1.7,14171
Oxley (Warren - NSW),8.0,0.0,1.0,27.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,13108
Red Hill (Warren - NSW),7.0,0.5710000000000001,0.429,21.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,13332
Mount Harris,20.0,0.33299999999999996,0.667,50.0,5.0,0.0,0.0,9.0,1.0,1374.0,0.0,0.0,0.0,12762
Girilambone,107.0,0.525,0.47500000000000003,42.0,23.0,2.2,1.0,51.0,2.8,1437.0,867.0,0.0,3.4,11632
Coolabah,69.0,0.521,0.479,35.0,16.0,1.0,0.2,31.0,2.5,1437.0,0.0,0.0,1.8,11021
Murrawombie,9.0,0.429,0.5710000000000001,55.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,12851
Hermidale,137.0,0.562,0.438,40.0,32.0,2.0,1.0,65.0,2.8,1375.0,975.0,0.0,2.9,11894
Pangee,10.0,0.625,0.375,44.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,13145
Honeybugle,27.0,0.632,0.368,46.0,6.0,1.0,1.0,8.0,3.0,0.0,0.0,0.0,4.0,11932
Five Ways,30.0,0.6,0.4,51.0,5.0,0.0,0.0,14.0,2.0,724.0,0.0,0.0,2.0,11531
Ravenswood (NSW),497.0,0.489,0.511,49.0,103.0,2.1,0.6,248.0,2.1,816.0,771.0,150.0,1.4,13321
Cumborah,249.0,0.58,0.42,55.0,46.0,2.4,0.5,289.0,2.0,491.0,0.0,0.0,1.6,11158
Angledool,58.0,0.533,0.467,51.0,9.0,1.5,0.4,34.0,1.5,440.0,0.0,0.0,1.7,10057
Goodooga,247.0,0.456,0.544,33.0,67.0,1.8,0.8,104.0,2.5,758.0,542.0,120.0,1.3,11702
Carinda,158.0,0.525,0.47500000000000003,44.0,40.0,1.9,0.5,101.0,2.2,1031.0,0.0,0.0,1.9,10814
Pilliga,217.0,0.525,0.47500000000000003,41.0,43.0,1.8,0.8,126.0,2.5,575.0,0.0,160.0,1.7,13205
Come By Chance,125.0,0.5,0.5,38.0,38.0,1.9,0.7,85.0,2.3,1325.0,1629.0,13.0,2.5,10993
Walgett,2145.0,0.506,0.494,33.0,493.0,2.2,0.9,993.0,2.6,1039.0,953.0,150.0,1.6,14096
Cryon,46.0,0.5810000000000001,0.419,30.0,13.0,3.0,0.9,26.0,2.9,1062.0,0.0,0.0,2.0,11137
Burren Junction,276.0,0.55,0.45,43.0,61.0,2.0,0.6,169.0,2.4,1014.0,498.0,9.0,2.6,10710
Lightning Ridge,2284.0,0.542,0.45799999999999996,51.0,511.0,1.9,0.5,1594.0,2.0,681.0,867.0,150.0,1.5,12320
Collarenebri,650.0,0.529,0.47100000000000003,38.0,149.0,2.0,0.7,357.0,2.5,907.0,479.0,132.0,1.4,10969
Rowena,181.0,0.5529999999999999,0.44700000000000006,41.0,43.0,2.1,0.8,97.0,2.5,1031.0,0.0,50.0,2.5,13431
Broken Hill,17814.0,0.48700000000000004,0.513,45.0,4568.0,1.8,0.6,9654.0,2.2,968.0,953.0,189.0,1.5,10592
White Cliffs,148.0,0.561,0.439,45.0,29.0,1.8,0.4,111.0,2.2,612.0,460.0,0.0,2.0,14274
Menindee,551.0,0.533,0.467,45.0,121.0,1.8,0.6,306.0,2.1,819.0,700.0,100.0,1.4,12571
Wilcannia,745.0,0.493,0.507,33.0,155.0,1.8,0.8,331.0,2.8,989.0,405.0,110.0,1.4,14290
Tibooburra,134.0,0.58,0.42,41.0,31.0,2.0,0.4,101.0,1.9,1233.0,339.0,100.0,2.0,13860
Milparinka,77.0,0.529,0.47100000000000003,31.0,9.0,2.7,1.4,25.0,1.4,687.0,0.0,5.0,2.5,12624
Mutawintji,32.0,0.528,0.47200000000000003,37.0,6.0,2.0,0.7,13.0,3.0,2749.0,0.0,0.0,2.5,12869
Packsaddle,87.0,0.563,0.43700000000000006,35.0,20.0,1.8,0.7,32.0,2.2,1124.0,0.0,0.0,3.3,13114
Fowlers Gap,30.0,0.7190000000000001,0.281,31.0,4.0,2.0,0.9,7.0,0.0,2250.0,0.0,0.0,3.5,11557
Broughams Gate,15.0,0.588,0.41200000000000003,35.0,5.0,2.0,1.0,9.0,3.4,0.0,0.0,0.0,2.0,10604
Scotia,26.0,0.667,0.33299999999999996,54.0,4.0,0.0,0.0,13.0,2.0,900.0,0.0,0.0,1.0,13504
Silverton (NSW),50.0,0.469,0.531,53.0,12.0,0.0,0.0,39.0,1.9,899.0,0.0,0.0,3.3,13545
Pooncarie,166.0,0.667,0.33299999999999996,43.0,27.0,2.1,0.7,70.0,1.9,933.0,867.0,0.0,2.1,13242
Little Topar,29.0,0.517,0.483,53.0,12.0,0.0,0.0,17.0,2.3,949.0,0.0,0.0,2.0,12358
Ivanhoe (NSW),327.0,0.5910000000000001,0.409,42.0,53.0,1.9,0.6,170.0,2.3,1305.0,758.0,40.0,2.5,11991
Sunset Strip (NSW),83.0,0.627,0.373,55.0,18.0,2.2,0.6,147.0,1.7,675.0,488.0,0.0,1.3,13693
Mossgiel,41.0,0.579,0.42100000000000004,39.0,9.0,1.5,0.7,22.0,2.0,1749.0,0.0,0.0,2.5,12740
Baradine,760.0,0.507,0.493,49.0,198.0,1.8,0.5,394.0,2.2,771.0,758.0,140.0,1.8,10190
Coonabarabran,3290.0,0.473,0.527,47.0,821.0,2.0,0.6,1549.0,2.2,896.0,1079.0,180.0,1.7,11043
Binnaway,602.0,0.53,0.47000000000000003,55.0,156.0,1.7,0.4,365.0,2.1,710.0,704.0,125.0,1.7,10372
Mendooran,559.0,0.518,0.48200000000000004,48.0,151.0,2.0,0.6,289.0,2.3,774.0,867.0,150.0,2.1,12570
Coolah,1290.0,0.506,0.494,46.0,326.0,2.0,0.7,617.0,2.4,975.0,925.0,150.0,2.0,11024
Bugaldie,144.0,0.517,0.483,52.0,40.0,2.6,0.6,80.0,2.0,664.0,1300.0,0.0,2.0,10646
Goorianawa,28.0,0.522,0.478,53.0,7.0,0.0,0.0,15.0,1.8,1312.0,0.0,0.0,3.1,11717
Barwon,33.0,0.438,0.563,43.0,9.0,2.0,0.8,12.0,2.1,899.0,0.0,0.0,2.9,10221
Wattle Springs,73.0,0.47100000000000003,0.529,43.0,16.0,1.7,0.6,33.0,2.4,850.0,0.0,50.0,2.9,14195
Tannabar,69.0,0.516,0.484,52.0,19.0,0.0,0.0,30.0,2.4,1875.0,1066.0,0.0,2.6,13750
Gowang,21.0,0.68,0.32,52.0,5.0,2.0,0.8,14.0,2.3,1031.0,0.0,0.0,2.0,11728
Dandry,94.0,0.51,0.49,55.0,22.0,1.5,0.3,48.0,1.9,725.0,850.0,0.0,1.7,11198
Rocky Glen,80.0,0.506,0.494,53.0,19.0,2.1,0.8,36.0,2.4,769.0,1463.0,0.0,2.0,13385
Napier Lane,30.0,0.583,0.41700000000000004,49.0,6.0,4.0,1.7,21.0,2.9,2250.0,0.0,0.0,2.0,12892
Goolhi,88.0,0.522,0.478,46.0,28.0,1.7,0.7,42.0,2.7,1875.0,0.0,0.0,3.0,11706
Nombi,35.0,0.595,0.405,44.0,8.0,2.5,1.1,25.0,2.8,1187.0,0.0,0.0,1.6,12969
Ulamambri,210.0,0.484,0.516,51.0,58.0,1.9,0.7,92.0,2.6,1147.0,867.0,0.0,2.5,14001
Ropers Road,18.0,0.556,0.444,28.0,3.0,0.0,0.0,5.0,1.5,1125.0,0.0,0.0,2.5,13396
Bomera,39.0,0.543,0.457,45.0,8.0,2.0,0.8,32.0,2.5,1187.0,0.0,0.0,1.8,10462
Tambar Springs,187.0,0.563,0.43700000000000006,52.0,42.0,1.9,0.6,101.0,2.2,749.0,384.0,120.0,1.9,13743
Box Ridge,48.0,0.532,0.46799999999999997,52.0,15.0,1.0,0.2,30.0,1.9,1156.0,740.0,0.0,2.4,10540
Purlewaugh,101.0,0.6,0.4,56.0,28.0,2.0,0.2,59.0,2.0,1333.0,650.0,100.0,2.4,13276
Premer,85.0,0.538,0.46299999999999997,43.0,22.0,2.3,0.9,43.0,2.4,900.0,414.0,30.0,2.1,13259
Merrygoen,115.0,0.5700000000000001,0.43,49.0,31.0,1.4,0.5,61.0,2.4,1281.0,225.0,50.0,2.5,12587
Mollyan,30.0,0.545,0.455,47.0,7.0,0.0,0.0,19.0,1.9,1125.0,1500.0,63.0,2.0,12668
Weetaliba,50.0,0.563,0.438,55.0,9.0,1.0,0.2,41.0,2.0,725.0,0.0,0.0,1.6,14214
Neilrex,72.0,0.5,0.5,37.0,18.0,2.2,1.3,33.0,3.3,1125.0,1000.0,63.0,2.0,12919
Yarragrin,34.0,0.5,0.5,49.0,8.0,0.0,0.0,19.0,1.6,1375.0,0.0,0.0,2.0,14472
Kenebri,42.0,0.488,0.512,51.0,10.0,1.0,0.2,35.0,1.7,1187.0,867.0,46.0,1.8,12097
Dubbo,38943.0,0.48100000000000004,0.519,36.0,9991.0,1.9,0.8,16379.0,2.5,1341.0,1517.0,265.0,1.8,11296
Terramungamine,271.0,0.502,0.498,38.0,76.0,1.9,0.9,103.0,2.9,1767.0,2000.0,185.0,2.7,13801
Brocklehurst,361.0,0.525,0.47500000000000003,41.0,92.0,2.0,0.9,135.0,2.6,1196.0,1376.0,230.0,2.1,10583
