,People,Male,Female,Median age,Families,Average children per family for families with children,Average children per family for all families,All private dwellings,Average people per household,Median weekly household income,Median monthly mortgage repayments,Median weekly rent,Average motor vehicles per dwelling,SSC_CODE
Upper Mongogarie,25.0,0.5,0.5,59.0,8.0,1.0,0.4,15.0,2.0,1024.0,0.0,0.0,1.4,14038
Hogarth Range,41.0,0.66,0.34,55.0,11.0,1.0,0.1,31.0,1.6,1031.0,1200.0,238.0,1.6,11919
Mongogarie,79.0,0.521,0.479,50.0,25.0,2.1,0.8,36.0,2.6,1041.0,1733.0,80.0,2.1,12679
Coombell,24.0,0.455,0.545,52.0,5.0,1.0,0.5,14.0,2.0,762.0,0.0,155.0,2.5,11040
Busbys Flat,37.0,0.6,0.4,57.0,6.0,0.0,0.0,19.0,1.4,724.0,0.0,0.0,1.4,10721
Kippenduff,36.0,0.606,0.394,55.0,11.0,0.0,0.0,22.0,2.0,675.0,433.0,0.0,1.3,12169
Wyan,44.0,0.488,0.512,50.0,14.0,1.0,0.2,18.0,1.9,1062.0,867.0,0.0,1.7,14432
Rappville,169.0,0.552,0.44799999999999995,44.0,47.0,2.0,0.9,70.0,2.6,725.0,1083.0,200.0,2.1,13318
Clearfield,10.0,1.0,0.0,50.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,10927
Myrtle Creek (NSW),86.0,0.483,0.517,48.0,23.0,1.4,0.6,39.0,2.6,1041.0,888.0,80.0,2.0,12879
Camira (NSW),29.0,0.6900000000000001,0.31,57.0,7.0,1.5,0.7,15.0,1.9,649.0,1473.0,0.0,1.4,10777
Bottle Creek,22.0,0.542,0.45799999999999996,42.0,4.0,2.0,1.0,14.0,1.0,687.0,0.0,0.0,1.6,10519
Joes Box,15.0,0.385,0.615,66.0,3.0,0.0,0.0,10.0,1.7,725.0,0.0,155.0,2.0,12036
Tunglebung,26.0,0.5860000000000001,0.414,63.0,8.0,0.0,0.0,28.0,1.8,933.0,0.0,0.0,2.0,13970
Culmaran Creek,10.0,0.667,0.33299999999999996,67.0,3.0,0.0,0.0,7.0,1.6,1374.0,0.0,0.0,2.0,11153
Jacksons Flat,9.0,0.455,0.545,70.0,4.0,0.0,0.0,11.0,1.5,900.0,0.0,0.0,4.0,11994
Lower Bottle Creek,20.0,0.538,0.462,58.0,7.0,1.0,0.2,17.0,2.3,725.0,2644.0,0.0,2.4,12403
Gorge Creek,11.0,0.5,0.5,57.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,11719
Lower Peacock,6.0,0.0,1.0,58.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,12411
Peacock Creek,28.0,0.5650000000000001,0.435,55.0,5.0,0.0,0.0,17.0,2.0,774.0,0.0,0.0,1.3,13165
Lower Duck Creek,23.0,0.4,0.6,52.0,9.0,0.0,0.0,13.0,2.0,2624.0,0.0,0.0,2.5,12405
Goonellabah,12900.0,0.465,0.535,41.0,3352.0,1.9,0.7,5527.0,2.4,1096.0,1517.0,275.0,1.7,11711
Chilcotts Grass,232.0,0.504,0.49600000000000005,46.0,63.0,1.6,0.7,84.0,2.8,1666.0,1300.0,370.0,2.3,10903
Muli Muli,49.0,0.556,0.444,28.0,16.0,1.8,1.2,32.0,2.7,774.0,0.0,110.0,0.7,12817
