Suburb_Code,Suburb_Name,State_Code,State_Name
13136,Sandringham,1,New South Wales
13141,Sans Souci,1,New South Wales
13146,Schofields,1,New South Wales
13151,Scotland Island,1,New South Wales
13156,Seaforth,1,New South Wales
13161,Sefton,1,New South Wales
13166,Seven Hills,1,New South Wales
13171,Shalvey,1,New South Wales
13176,Silverwater,1,New South Wales
13181,Smithfield,1,New South Wales
13186,South Coogee,1,New South Wales
13191,South Granville,1,New South Wales
13196,South Hurstville,1,New South Wales
13201,South Penrith,1,New South Wales
13206,South Turramurra,1,New South Wales
13211,South Wentworthville,1,New South Wales
13216,Springwood,1,New South Wales
13221,St Andrews,1,New South Wales
13226,St Clair,1,New South Wales
13231,St Helens Park,1,New South Wales
13236,St Ives,1,New South Wales
13241,St Ives Chase,1,New South Wales
13246,St Johns Park,1,New South Wales
13251,St Leonards,1,New South Wales
13256,St Marys,1,New South Wales
13261,St Peters,1,New South Wales
13266,Stanhope Gardens,1,New South Wales
13271,Stanmore,1,New South Wales
13276,Strathfield,1,New South Wales
13281,Strathfield South,1,New South Wales
13286,Summer Hill,1,New South Wales
13291,Surry Hills,1,New South Wales
13296,Sutherland,1,New South Wales
13301,Sydenham,1,New South Wales
13306,Sydney,1,New South Wales
13311,Sylvania,1,New South Wales
13316,Sylvania Waters,1,New South Wales
13321,Tamarama,1,New South Wales
13326,Tarban,1,New South Wales
13331,Taren Point,1,New South Wales
13336,Tempe,1,New South Wales
13341,Tennyson,1,New South Wales
13346,Terrey Hills,1,New South Wales
13356,Thornleigh,1,New South Wales
13361,Toongabbie,1,New South Wales
13366,Tregear,1,New South Wales
13371,Turramurra,1,New South Wales
13376,Turrella,1,New South Wales
13381,Ultimo,1,New South Wales
13386,Valley Heights,1,New South Wales
13391,Vaucluse,1,New South Wales
13396,Villawood,1,New South Wales
13401,Voyager Point,1,New South Wales
13406,Wahroonga,1,New South Wales
13411,Waitara,1,New South Wales
13416,Wakeley,1,New South Wales
13421,Wareemba,1,New South Wales
13426,Warrawee,1,New South Wales
13431,Warriewood,1,New South Wales
13436,Warrimoo,1,New South Wales
13441,Warwick Farm,1,New South Wales
13446,Waterloo,1,New South Wales
13451,Watsons Bay,1,New South Wales
13456,Wattle Grove,1,New South Wales
13461,Waverley,1,New South Wales
13466,Waverton,1,New South Wales
13471,Wentworthville,1,New South Wales
13476,Werrington,1,New South Wales
13481,Werrington County,1,New South Wales
13486,Werrington Downs,1,New South Wales
13491,West Hoxton,1,New South Wales
13496,West Pennant Hills,1,New South Wales
13501,West Pymble,1,New South Wales
13506,West Ryde,1,New South Wales
13511,Westleigh,1,New South Wales
13516,Westmead,1,New South Wales
13521,Wetherill Park,1,New South Wales
13526,Whalan,1,New South Wales
13531,Wiley Park,1,New South Wales
13536,Willmot,1,New South Wales
13541,Willoughby,1,New South Wales
13546,Willoughby East,1,New South Wales
13551,Winmalee,1,New South Wales
13556,Winston Hills,1,New South Wales
13561,Wollstonecraft,1,New South Wales
13566,Woodbine,1,New South Wales
13571,Woodcroft,1,New South Wales
13576,Woodpark,1,New South Wales
13581,Woollahra,1,New South Wales
13586,Woolloomooloo,1,New South Wales
13591,Woolooware,1,New South Wales
13596,Woolwich,1,New South Wales
13601,Woronora,1,New South Wales
13606,Woronora Heights,1,New South Wales
13611,Yagoona,1,New South Wales
13616,Yarrawarrah,1,New South Wales
13621,Yennora,1,New South Wales
13626,Yowie Bay,1,New South Wales
13631,Zetland,1,New South Wales
15006,Avoca Beach,1,New South Wales
15011,Bateau Bay,1,New South Wales
15016,Bensville,1,New South Wales
15021,Berkeley Vale,1,New South Wales
15026,Blackwall,1,New South Wales
15031,Blue Bay,1,New South Wales
15036,Blue Haven,1,New South Wales
15041,Booker Bay,1,New South Wales
15046,Budgewoi,1,New South Wales
15051,Buff Point,1,New South Wales
15056,Canton Beach,1,New South Wales
15061,Charmhaven,1,New South Wales
15066,Chittaway Bay,1,New South Wales
15071,Chittaway Point,1,New South Wales
15076,Copacabana,1,New South Wales
15081,Daleys Point,1,New South Wales
15086,Davistown,1,New South Wales
15091,East Gosford,1,New South Wales
15096,Empire Bay,1,New South Wales
15101,Erina,1,New South Wales
15106,Ettalong Beach,1,New South Wales
15111,Forresters Beach,1,New South Wales
15116,Glenning Valley,1,New South Wales
15121,Gorokan,1,New South Wales
15126,Gosford,1,New South Wales
15131,Green Point,1,New South Wales
15136,Halekulani,1,New South Wales
15141,Horsfield Bay,1,New South Wales
15146,Kanwal,1,New South Wales
15151,Kariong,1,New South Wales
15156,Killarney Vale,1,New South Wales
15161,Kincumber,1,New South Wales
15166,Kincumber South,1,New South Wales
15171,Koolewong,1,New South Wales
15176,Lake Haven,1,New South Wales
15181,Lisarow,1,New South Wales
15186,Long Jetty,1,New South Wales
15191,Mardi,1,New South Wales
15196,Narara,1,New South Wales
15201,Niagara Park,1,New South Wales
15206,Norah Head,1,New South Wales
15211,Noraville,1,New South Wales
15216,North Avoca,1,New South Wales
15221,North Gosford,1,New South Wales
15226,Ourimbah,1,New South Wales
15231,Pearl Beach,1,New South Wales
15236,Point Clare,1,New South Wales
15241,Point Frederick,1,New South Wales
15246,Rocky Point,1,New South Wales
15251,San Remo,1,New South Wales
15256,Saratoga,1,New South Wales
15261,Shelly Beach,1,New South Wales
15266,Springfield,1,New South Wales
15271,St Huberts Island,1,New South Wales
15276,Tacoma,1,New South Wales
15281,Tacoma South,1,New South Wales
15286,Tascott,1,New South Wales
15291,Terrigal,1,New South Wales
15296,The Entrance,1,New South Wales
15301,The Entrance North,1,New South Wales
15306,Toowoon Bay,1,New South Wales
15311,Toukley,1,New South Wales
15316,Tuggerah,1,New South Wales
15321,Tuggerawong,1,New South Wales
15326,Tumbi Umbi,1,New South Wales
15331,Umina Beach,1,New South Wales
15336,Wamberal,1,New South Wales
15341,Watanobbi,1,New South Wales
15346,West Gosford,1,New South Wales
15351,Woy Woy,1,New South Wales
15356,Woy Woy Bay,1,New South Wales
15361,Wyoming,1,New South Wales
15366,Wyong,1,New South Wales
15371,Wyongah,1,New South Wales
15376,Yattalunga,1,New South Wales
16006,Adamstown,1,New South Wales
16011,Adamstown Heights,1,New South Wales
16016,Argenton,1,New South Wales
16021,Bar Beach,1,New South Wales
16026,Barnsley,1,New South Wales
16031,Belmont,1,New South Wales
16036,Belmont North,1,New South Wales
16041,Belmont South,1,New South Wales
16046,Birmingham Gardens,1,New South Wales
16051,Blackalls Park,1,New South Wales
16056,Blacksmiths,1,New South Wales
16061,Bolton Point,1,New South Wales
16066,Boolaroo,1,New South Wales
16071,Booragul,1,New South Wales
16076,Broadmeadow,1,New South Wales
16081,Cardiff,1,New South Wales
16086,Cardiff Heights,1,New South Wales
16091,Cardiff South,1,New South Wales
16096,Carrington,1,New South Wales
16101,Cary Bay,1,New South Wales
16106,Caves Beach,1,New South Wales
16111,Charlestown,1,New South Wales
16116,Coal Point,1,New South Wales
16121,Cooks Hill,1,New South Wales
