"RA_2006_CODE","RA_2006_NAME","SSC_2006_CODE","SSC_2006_NAME","RATIO","PERCENT"
"10","Major Cities of Australia","11393","Forestville",1,100
"10","Major Cities of Australia","11395","Frenchs Forest",1,100
"10","Major Cities of Australia","11397","Georges Hall",1,100
"10","Major Cities of Australia","11399","Girraween",1,100
"10","Major Cities of Australia","11401","Gladesville",1,100
"10","Major Cities of Australia","11403","Glebe",1,100
"10","Major Cities of Australia","11405","Glen Alpine",1,100
"10","Major Cities of Australia","11407","Glenbrook",1,100
"10","Major Cities of Australia","11409","Glendenning",1,100
"10","Major Cities of Australia","11411","Glenfield",1,100
"10","Major Cities of Australia","11413","Glenhaven",1,100
"10","Major Cities of Australia","11415","Glenmore Park",1,100
"10","Major Cities of Australia","11417","Glenwood",1,100
"10","Major Cities of Australia","11419","Gordon",1,100
"10","Major Cities of Australia","11421","Granville",1,100
"10","Major Cities of Australia","11423","Grays Point",1,100
"10","Major Cities of Australia","11425","Green Valley",1,100
"10","Major Cities of Australia","11427","Greenacre",1,100
"10","Major Cities of Australia","11429","Greenfield Park",1,100
"10","Major Cities of Australia","11431","Greenwich",1,100
"10","Major Cities of Australia","11433","Greystanes",1,100
"10","Major Cities of Australia","11435","Guildford",1,100
"10","Major Cities of Australia","11437","Guildford West",1,100
"10","Major Cities of Australia","11439","Gymea",1,100
"10","Major Cities of Australia","11441","Gymea Bay",1,100
"10","Major Cities of Australia","11443","Haberfield",1,100
"10","Major Cities of Australia","11445","Hammondville",1,100
"10","Major Cities of Australia","11447","Harbord",1,100
"10","Major Cities of Australia","11449","Harrington Park",1,100
"10","Major Cities of Australia","11451","Harris Park",1,100
"10","Major Cities of Australia","11453","Hassall Grove",1,100
"10","Major Cities of Australia","11455","Haymarket",1,100
"10","Major Cities of Australia","11457","Hazelbrook",1,100
"10","Major Cities of Australia","11459","Heathcote",1,100
"10","Major Cities of Australia","11461","Hebersham",1,100
"10","Major Cities of Australia","11463","Heckenberg",1,100
