SSC_NAME_2016,POA_NAME_2016,n_MB_CODE_2016,share_MB_CODE_2016
North Parramatta,2151,191,0.9947916666666666
North Rocks,2151,113,1
North Ryde,2113,131,1
North St Marys,2760,54,1
North Strathfield,2137,54,1
North Sydney,2060,127,1
North Turramurra,2074,62,1
North Wahroonga,2076,40,1
North Willoughby,2068,53,1
Northbridge (NSW),2063,94,1
Northmead,2152,157,1
Northwood (NSW),2066,10,1
Oakhurst (NSW),2761,63,1
Oakville,2765,19,1
Oatlands (NSW),2117,71,1
Oatley,2223,136,1
Old Guildford,2161,22,1
Old Toongabbie,2146,57,1
Orchard Hills,2748,27,1
Oxford Falls,2100,14,1
Oxley Park,2760,41,1
Oyster Bay,2225,55,0.9821428571428571
Paddington (NSW),2021,192,1
Padstow,2211,160,1
Padstow Heights,2211,54,1
Pagewood,2035,45,1
Palm Beach (NSW),2108,49,1
Panania,2213,129,1
Parklea,2768,16,1
Parramatta,2150,298,0.9933333333333333
Peakhurst,2210,127,1
Peakhurst Heights,2210,35,1
Pemulwuy,2145,53,1
Pendle Hill,2145,87,1
Pennant Hills,2120,91,1
Penrith,2750,244,1
Penshurst (NSW),2222,152,1
Petersham,2049,106,1
Phillip Bay,2036,10,1
Picnic Point,2213,62,1
Pleasure Point,2172,7,1
Plumpton (NSW),2761,84,1
Point Piper,2027,26,1
Port Botany,2036,2,1
Port Hacking,2229,11,1
Potts Hill,2143,10,1
Potts Point,2011,113,1
Prairiewood,2176,43,1
Prestons,2170,139,1
Prospect (NSW),2148,56,1
Punchbowl (Canterbury-Bankstown - NSW),2196,193,1
Putney,2112,58,1
Pymble,2073,117,0.9915254237288136
Pyrmont,2009,71,1
Quakers Hill,2763,271,1
Queens Park (NSW),2022,37,1
Queenscliff (NSW),2096,52,1
Ramsgate,2217,20,1
Ramsgate Beach,2217,32,1
Randwick,2031,370,1
Redfern,2016,139,1
Regents Park (NSW),2143,65,1
Revesby,2212,166,0.9880952380952381
Revesby Heights,2212,20,1
Rhodes,2138,40,1
Riverstone,2765,110,1
Riverview (NSW),2066,33,1
Riverwood,2210,131,1
Rockdale,2216,162,1
Rodd Point,2046,21,1
Rookwood (NSW),2141,1,1
Rooty Hill,2766,147,1
Ropes Crossing,2760,56,0.9824561403508771
Rose Bay (NSW),2029,141,0.986013986013986
Rosebery (NSW),2018,90,1
Rosehill (NSW),2142,49,1
Roselands,2196,132,1
Roseville,2069,116,1
Roseville Chase,2069,18,1
Rouse Hill,2155,97,1
Royal National Park,2233,8,1
Rozelle,2039,130,1
Rushcutters Bay,2011,45,1
Russell Lea,2046,66,1
Rydalmere,2116,87,1
Ryde,2112,281,1
Sadleir,2168,29,1
Sandringham (NSW),2219,27,1
Sandy Point (NSW),2172,5,1
Sans Souci,2219,148,1
Schofields,2762,45,1
Scotland Island,2105,13,1
Seaforth (NSW),2092,92,1
Sefton,2162,65,1
Seven Hills (NSW),2147,238,1
Shalvey,2770,42,1
Shanes Park,2747,5,1
Silverwater (Parramatta - NSW),2128,69,1
Smithfield (NSW),2164,187,1
South Coogee,2034,63,1
South Granville,2142,74,1
South Hurstville,2221,61,1
South Penrith,2750,129,1
South Turramurra,2074,58,1
South Wentworthville,2145,71,1
St Clair (Penrith - NSW),2759,201,1
St Ives (NSW),2075,192,1
St Ives Chase,2075,41,1
