mass_var,dist_spec,target_key,source,target,dist,mass_source,mass_target,gravity,gravity_rank
n_hospitals,radial_distance,2026,2117,2026,0.25055331672869385,1,0.1,2,148
n_hospitals,radial_distance,2026,2118,2026,0.2540612139068067,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2119,2026,0.24769024990875074,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2120,2026,0.25541786836518365,1,0.1,2,148
n_hospitals,radial_distance,2026,2121,2026,0.22638710628770872,1,0.1,2,148
n_hospitals,radial_distance,2026,2122,2026,0.20878141412569368,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2123,2026,0.2821206684094165,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2125,2026,0.2777348857151211,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2126,2026,0.2817082685052967,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2127,2026,0.21067296425330367,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2128,2026,0.23290821748237525,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2129,2026,0.20239264005238147,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2130,2026,0.13537513745610796,0.1,0.1,1,113
n_hospitals,radial_distance,2026,2131,2026,0.14627629019085867,2,0.1,9,193
n_hospitals,radial_distance,2026,2132,2026,0.15723589045541214,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2133,2026,0.16959276808967996,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2134,2026,0.16905467418731512,1,0.1,3,166
n_hospitals,radial_distance,2026,2135,2026,0.1909969238758776,1,0.1,3,166
n_hospitals,radial_distance,2026,2136,2026,0.18973487216164303,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2137,2026,0.17265432028052186,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2138,2026,0.18984514526453236,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2139,2026,0.1852079412971642,2,0.1,6,182
n_hospitals,radial_distance,2026,2140,2026,0.1990923981212163,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2141,2026,0.22615933768092628,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2142,2026,0.25997080348396306,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2143,2026,0.24617329823306416,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2144,2026,0.2487367342367258,2,0.1,3,166
n_hospitals,radial_distance,2026,2145,2026,0.3275274337931242,8,0.1,7,184
n_hospitals,radial_distance,2026,2146,2026,0.33456074416233983,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2147,2026,0.35719926204664637,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2148,2026,0.38687984100960243,2,0.1,1,113
n_hospitals,radial_distance,2026,2150,2026,0.276098649126243,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2151,2026,0.2787854049780468,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2152,2026,0.2965505785567951,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2153,2026,0.3255656708299673,2,0.1,2,148
n_hospitals,radial_distance,2026,2154,2026,0.31698210962664275,1,0.1,1,113
n_hospitals,radial_distance,2026,2155,2026,0.3873658536678995,1,0.1,1,113
n_hospitals,radial_distance,2026,2156,2026,0.3830775964547368,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2157,2026,0.4244780749992983,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2158,2026,0.3191956721050785,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2159,2026,0.35704589061456193,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2160,2026,0.2946259369246373,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2161,2026,0.293203530654508,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2162,2026,0.26960249201682607,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2163,2026,0.29424956360840254,1,0.1,1,113
n_hospitals,radial_distance,2026,2164,2026,0.3579275345536125,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2165,2026,0.32663203636314597,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2166,2026,0.33461403236692144,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2167,2026,0.38766072902045845,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2168,2026,0.3966350798441204,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2170,2026,0.35644934169205333,3,0.1,2,148
n_hospitals,radial_distance,2026,2171,2026,0.4317964868602437,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2172,2026,0.30173343096399596,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2173,2026,0.3998337079002907,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2174,2026,0.42124199260527023,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2175,2026,0.42760568520115716,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2176,2026,0.3888327032854592,2,0.1,1,113
n_hospitals,radial_distance,2026,2177,2026,0.3913249585486397,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2178,2026,0.47296405471391095,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2179,2026,0.47502127681783896,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2190,2026,0.21694759509548575,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2191,2026,0.1872054573073942,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2192,2026,0.18545396383229593,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2193,2026,0.1532374048009561,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2194,2026,0.17121090565109914,2,0.1,7,184
n_hospitals,radial_distance,2026,2195,2026,0.20195451135010833,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2196,2026,0.21564426060495917,0.1,0.1,0,1
n_hospitals,radial_distance,2026,2197,2026,0.2762919626371097,0.1,0.1,0,1
